Word,Clue
VIREO,"""Black-capped"" or ""yellow-throated"" songbird"
ACHOO,"""Bless you!"" elicitor"
RAVEL,"""Bolero"" composer"
ENJOY,"""Bon appÃ©tit!"""
DANNO,"""Book 'em, ___!"""
BEIGE,"""Boring"" shade"
BEHAN,"""Borstal Boy"" author"
NEEDA,"""Boy, do I ___ drink!"""
MYMAN,"""Brah!"""
EXECS,"""Brass"""
JIGGS,"""Bringing Up Father"" father"
NOTTE,"""Buona ___"" (parting phrase in Italy)"
GOLLY,"""By ___!"""
SEGUE,"""By the way,"" e.g."
ESTAS,"""CÃ³mo ___?"""
AWILL,"""Caesar, now be still: / I kill'd not thee with half so good ___"": Brutus"
HEREI,"""California, ___ Come"""
CAMUS,"""Caligula"" writer"
WAGON,"""Calvin and Hobbes"" conveyance"
ALONG,"""Can't we all just get ___?"""
BIZET,"""Carmen"" composer"
VEIDT,"""Casablanca"" actor Conrad"
ILSAS,"""Casablanca"" heroine and others"
BOGIE,"""Casablanca"" star, informally"
ALFIO,"""Cavalleria Rusticana"" baritone"
CHANS,"""Charlie ___ Secret"" (1935 film)"
GOSEE,"""Check it out for yourself"""
PROST,"""Cheers!,"" in Berlin"
LAHTI,"""Chicago Hope"" actress Christine"
LASSE,"""Chocolat"" director Hallstrom"
WYETH,"""Christina's World"" painter Andrew"
SEEYA,"""Ciao!"""
JAFFE,"""Class Reunion"" novelist, 1979"
ORTEA,"""Coffee ___?"""
TEAOR,"""Coffee, ___ Me?"""
OFFIT,"""Come ___!"""
BINGO,"""Correct!"""
TUTTE,"""Cosi Fan ___"""
IMHOT,"""Could you turn on the A.C.?"""
TOTEN,"""Count ___"" (calming advice)"
AMIEL,"""Creation"" director Jon"
SONYA,"""Crime and Punishment"" heroine"
CBSTV,"""CSI"" broadcaster"
SLADE,"""Cum on Feel the Noize"" band, 1973"
ADAGE,"""Curiosity killed the cat,"" e.g."
BYGUM,"""Dagnabbit!"""
NERTS,"""Dagnabbit!"""
EWING,"""Dallas"" family name"
SHOOT,"""Dang it!"""
HARUM,"""David ___,"" Edward Noyes Westcott novel"
POETS,"""Dead ___ Society"""
GOGOL,"""Dead Souls"" author Nikolai"
MSNBC,"""Deadline: White House"" channel"
LOMAN,"""Death of a Salesman"" salesman"
ACURE,"""Dedicated to finding ___"" (diabetes foundation motto)"
STAEL,"""Delphine"" author Madame de ___"
BUICK,"""Deuce and a quarter"" automaker"
MYRON,"""Discobolus"" sculptor"
ITNOW,"""Do ___!"" (""Stop procrastinating!"")"
IEVER,"""Do ___!"" (emphatic agreement)"
IDARE,"""Do ___?"""
HEARA,"""Do I ___ second?"""
ADEER,"""Doe, ___ ..."""
ABELL,"""Does that ring ___?"""
STILL,"""Doesn't matter, but ..."""
ACTSO,"""Don't ___ surprised"""
AHERO,"""Don't be ___"" (words of caution)"
SAYHI,"""Don't be rude ... greet our guests!"""
SAYIT,"""Don't hold back!"""
AFUSS,"""Don't make ___!"""
IFIDO,"""Don't mind ___!"""
NOBIG,"""Don't worry about it,"" slangily"
EDITH,"""Downton Abbey"" daughter"
DIGIN,"""Eat up!"""
KINDA,"""Eh, not really"""
RIGBY,"""Eleanor ___"" (1966 Beatles hit)"
EULER,"""Elements of Algebra"" author, 1770"
LOUIS,"""Ella and ___"" (1956 jazz album)"
GARDE,"""En ___!"""
BASTA,"""Enough!,"" to a Roman"
INNES,"""ER"" actress Laura"
BRAGH,"""Erin go ___!"""
APOET,"""Every man will be ___ if he can"": Thoreau"
ASTAR,"""Everybody Is ___"" (1970 Sly & the Family Stone hit)"
WORKS,"""Everything"" order on a hot dog, with ""the"""
RELAX,"""Everything's going to be fine"""
AGARN,"""F Troop"" corporal"
FOXTV,"""Family Guy"" airer"
ELYSE,"""Family Ties"" mother"
ACOLD,"""Feed ___, starve ..."""
YADIG,"""Feel me?"""
TOPOL,"""Fiddler on the Roof"" star"
BEMAD,"""Fine, stay angry!"""
STARI,"""First see..."""
NOURI,"""Flashdance"" actor Michael"
SAKES,"""For goodness' ___!"""
PEPSI,"""For those who think young"" sloganeer, once"
ANAIL,"""For want of ___ ..."""
LURIE,"""Foreign Affairs"" author Alison"
LISPS,"""Frontal"" or ""lateral"" speaking features"
FANNY,"""Funny Girl"" role for which Barbra Streisand won an Oscar"
PAREE,"""Gay"" city in a Cole Porter song"
AWMAN,"""Geez, that sucks!"""
OUTTA,"""Get ___ here!"""
AGRIP,"""Get ___!"""
AROOM,"""Get ___, you two!"""
SCRAM,"""Get out!"""
PEELE,"""Get Out"" director Jordan"
YAYAS,"""Get Yer ___ Out!"" (Rolling Stones live album)"
IWANT,"""Gimme, gimme, gimme!"""
AREST,"""Give it ___!"""
AHINT,"""Give me ___"""
COHAN,"""Give My Regards to Broadway"" composer"
TAKER,"""Givee"""
PATRI,"""Gloria ___"" (hymn)"
SATIE,"""Gnossiennes"" composer"
IRULE,"""Go me!"""
ODETS,"""Golden Boy"" playwright"
OHARA,"""Gone With the Wind"" name"
MOLLY,"""Good Golly, Miss ___"""
OHGOD,"""Good heavens!"""
BUENO,"""Good job!,"" south of the border"
MERCY,"""Goodness gracious!"""
IRENE,"""Goodnight, ___"" (classic song)"
STINE,"""Goosebumps"" writer R. L. ___"
WILCO,"""Got it, I'm on it,"" in radio lingo"
NOTED,"""Gotcha"""
IMHIP,"""Gotcha,"" in old lingo"
LAWDY,"""Gracious!,"" informally"
HANEY,"""Green Acres"" con man Mr. ___"
APAIR,"""Grow ___!"" (""Man up!"")"
IMMAD,"""Grrrr!"""
NACHT,"""Gute ___"" (German bedtime words)"
GOTEM,"""Ha, fell right into my trap!"""
ALOAF,"""Half ___ is better ..."""
SLANG,"""Hammered"" for ""drunk,"" e.g."
MALPH,"""Happy Days"" character"
LUEGO,"""Hasta ___!"""
MAXIM,"""Haste makes waste,"" e.g."
TRYIT,"""Have a taste!"""
APOEM,"""He fain would write ___"": Browning"
KURTZ,"""Heart of Darkness"" character who cries ""The horror! The horror!"""
PSYOP,"""Hearts and minds"" military maneuver, briefly"
BETSY,"""Heavens to ___!"""
MYGOD,"""Heavens to Murgatroyd!"""
YEMEN,"""Heel"" of the Arabian Peninsula"
SPYRI,"""Heidi"" author Johanna"
OHBOY,"""Here we go again ..."""
SPOON,"""Hey Diddle Diddle"" runaway"
PSSST,"""Hey, buddy!"""
UPTOP,"""High-five!"""
EATNO,"""His wife could ___ lean"""
PARTI,"""History of the World, ___"" (Mel Brooks film that doesn't actually have a sequel)"
KLINK,"""Hogan's Heroes"" colonel"
GEMMA,"""Hollyoaks"" actress ___ Atkinson"
YIPES,"""Holy cannoli!"""
ZOWIE,"""Holy cow!"""
WOWIE,"""Holy guacamole!"""
YOWZA,"""Holy moly!"""
MANDY,"""Homeland"" actor Patinkin"
NOLIE,"""Honest!"""
OHMAN,"""Hoo-ee!"""
TOADS,"""Horned"" creatures"
HAGAR,"""Horrible"" comics Viking"
ILIVE,"""How Do ___"" (1997 LeAnn Rimes hit)"
OHJOY,"""How great,"" sarcastically"
ISNOT,"""Huh-uh!"""
ABODE,"""Humble"" home"
HADNO,"""I ___ idea"""
CHING,"""I ___"""
VOTED,"""I ___"" (sticker message)"
ITFOR,"""I Can Get___You Wholesale"""
WHOSE,"""I could a tale unfold ___ lightest word / Would harrow up thy soul ..."": ""Hamlet"""
OHHEY,"""I didn't see you there!"""
GETNO,"""I don't ___ respect!"""
ADARN,"""I don't give ___!"""
CLINE,"""I Fall to Pieces"" singer"
UNCLE,"""I give!"""
BYRON,"""I had a dream, which was not all a dream"" poet"
ACLUE,"""I haven't ___"""
ETHEL,"""I Love Lucy"" landlady"
MERTZ,"""I Love Lucy"" neighbor"
TEAMO,"""I love you,"" in Spain"
AWORD,"""I need to speak with you,"" briefly"
TRINA,"""I Remember Mama"" aunt"
AHYES,"""I remember now"""
INYOU,"""I Still Believe ___"" (#1 Vince Gill country song)"
THEYD,"""I thought ___ never leave!"""
METOO,"""I totally agree!"""
GIMME,"""I want it!"""
MAYPO,"""I want my ___!"" (old advertising catchphrase)"
AMALE,"""I Was ___ War Bride"""
NOTBE,"""I would ___ surprised"""
AMENU,"""I'd like to see ___"""
IWERE,"""If ___ you ..."""
WEREA,"""If I ___ rich man ..."""
ARICH,"""If I Were ___ Man"""
MYHAT,"""If I'm wrong, I'll eat ___!"""
MAYBE,"""I'll think about it"""
GOTME,"""I'm baffled"""
TRYME,"""I'm listening ..."""
LENIN,"""Imperialism, the Highest Stage of Capitalism"" author"
OROUT,"""In ___?"""
NUDGE,"""In case you forgot ...,"" e.g."
HYMNS,"""In Dulci Jubilo"" and others"
HOWSO,"""In what way?"""
DOBBS,"""Independents Day"" author Lou"
IDBET,"""Intuition tells me ..."""
RALPH,"""Invisible Man"" author Ellison"
AFACT,"""Is that ___?"""
ENDTO,"""Is there no ___ this?"""
HASNT,"""It ___ hit me yet"""
ASLOW,"""It must have been ___ news day"""
TIMEX,"""It takes a licking and keeps on ticking"" brand"
ADARK,"""It was ___ and stormy night ..."""
ANACT,"""It was all ___"""
ASURE,"""It's ___ bet!"""
ALOST,"""It's ___ cause"""
ASIGN,"""It's ___ of the times"""
ALOVE,"""It's ___ Thing"" (1981 hit by the Whispers)"
ANILL,"""It's ___ wind ..."""
ADEAL,"""It's ___"" (""Let's shake on it"")"
ANART,"""It's ___, not a science"""
CRYIN,"""It's a ___ shame"""
ENDOF,"""It's the ___ the world ..."""
GOTNO,"""I've ___ Strings"" (Pinocchio song)"
AMIND,"""I've got half ___ to ..."""
CANIT,"""Ixnay!"""
SWOLE,"""Jacked"""
LENOS,"""Jay ___ Garage"" (Emmy-winning series)"
EGADS,"""Jeepers!"""
OHWOW,"""Jeez, wasn't expecting that!"""
DREDD,"""Judge ___"" (1995 Stallone movie)"
CASCA,"""Julius Caesar"" role"
ACITY,"""Just ___ boy, born and raised in South Detroit"" (lyric from ""Don't Stop Believin'"")"
WEIRD,"""Keep Austin ___"" (city slogan)"
EYEON,"""Keep your ___ the prize!"""
ROCCO,"""Key Largo"" gangster Johnny"
REGAN,"""King Lear"" daughter"
FOYLE,"""Kitty ___"" (1940 movie romance)"
ITOFF,"""Knock ___!"""
REGLE,"""La ___ du jeu"" (1939 Renoir film)"
FILLE,"""La ___ du Regiment"" (Donizetti opera)"
HEARN,"""La Cage aux Folles"" Tony winner"
OMNIA,"""Labor ___ vincit"" (Oklahoma's state motto)"
ORARE,"""Laborare est ___"" (Masonic motto)"
PLATH,"""Lady Lazarus"" poet Sylvia"
LUKAS,"""Last Days"" actor Haas"
HYENA,"""Laughing"" scavenger"
MORTE,"""Le ___ d'Arthur"""
EMEAT,"""Let ___ Cake"""
ITRIP,"""Let ___!"" (""Full speed ahead!"")"
ALLBE,"""Let's ___ There"" (old NBC slogan)"
ITAGO,"""Let's give ___"""
VAMOS,"""Let's go!,"" in Durango"
ICALL,"""Let's see what you've got,"" in poker"
AVOTE,"""Let's take ___"""
ISBUT,"""Life ___ a dream"""
ASIDO,"""Like me"""
SHMOO,"""Li'l Abner"" character shaped like a bowling pin"
BARDO,"""Lincoln in the ___"" (2017 best-selling novel)"
MRBIG,"""Live and Let Die"" villain"
ORDIE,"""Live Free ___"" (New Hampshire motto)"
ORTON,"""Loot"" playwright Joe"
ISALL,"""Love ___ you need"""
TOSEE,"""Lovely ___ You"" (song by the Moody Blues)"
TEENA,"""Lovergirl"" singer Marie"
TOVAH,"""L'shanah ___!"" (Rosh Hashana greeting)"
WEILL,"""Mack the Knife"" composer"
AWISH,"""Make ___!"" (birthday cry)"
GETIT,"""Make sense?"""
BACOS,"""Makes every bite better"" salad ingredient"
JOLIE,"""Maleficent"" star, 2014"
ALION,"""March comes in like ___ ..."""
ITAKE,"""May ___ your coat?"""
HORNY,"""Me So ___"" (1989 rap chart-topper)"
SOAMI,"""Me too"""
SODOI,"""Me too"""
CULPA,"""Mea ___"""
MYBAD,"""Mea culpa"""
MANDM,"""Melts in your mouth"" candy"
GOTIT,"""Message received"""
DICTU,"""Mirabile ___!"" (""Wonderful to state!"")"
BEANE,"""Moneyball"" subject Billy"
MONAE,"""Moonlight"" actress Janelle"
HOREB,"""Mountain of God,"" in Exodus"
RISIN,"""Mr. Mojo ___"" (repeated Doors lyric)"
SPOCK,"""Mr."" of 1960s TV"
ARRIS,"""Mrs. ___ Goes to Paris"" (Paul Gallico novel)"
ELDIN,"""Murphy Brown"" houseman"
BLIGH,"""Mutiny on the Bounty"" captain"
PSHAW,"""My eye!"""
COOTE,"""My Fair Lady"" actor Robert"
CUKOR,"""My Fair Lady"" director George"
NIZER,"""My Life in Court"" author Louis"
IMDUE,"""My luck has to change at some point"""
ASHER,"""My Name Is ___ Lev"" (Chaim Potok novel)"
IDSAY,"""My take is ..."""
LEMME,"""My turn! My turn!"""
VIDAL,"""Myra Breckinridge"" novelist"
SPANO,"""NCIS"" actor Joe"
ALIFT,"""Need ___?"" (query to hitchhikers)"
NELLY,"""Nervous"" sort"
NEATO,"""Nifty!"""
IPASS,"""No bid from me"""
ALLOK,"""No problem here"""
ITSOK,"""No worries"""
IXNAY,"""Nope"""
THATI,"""Not ___ know of"""
NEVER,"""Not a chance!"""
NOWAY,"""Not a chance!"""
MILNE,"""Now We Are Six"" author"
SEEEM,"""Now you ___ ..."" (magician's comment about disappearing cards)"
NATCH,"""Obviously,"" in slang"
ISING,"""Of thee"" follower"
FUDGE,"""Oh, darn!"""
AHOME,"""Oh, give me ___ ..."""
YOUDO,"""Oh, is that so?"""
DIDNT,"""Oh, no you ___!"""
IGIVE,"""OK, you win"""
REMIX,"""Old Town Road (feat. Billy Ray Cyrus),"" for one"
CHANT,"""Ole! Ole! Ole!,"" for one"
MANET,"""Olympia"" painter"
ROTFL,"""OMG, that is soooo funny!"""
SAGAS,"""On again, off again"" love stories, say"
CANDO,"""On it!"""
SHUTE,"""On the Beach"" novelist Nevil"
KAZAN,"""On the Waterfront"" director Elia"
UPONA,"""Once ___ midnight dreary ..."""
ATIME,"""Once upon ___ ..."""
RAMBO,"""One-man army"" of the silver screen"
ILIKE,"""Ooh-la-la!"""
NOBIS,"""Ora pro ___"""
IFNOT,"""Otherwise ..."""
WEBBS,"""Our Town"" family"
TONIO,"""Pagliacci"" baritone"
PEDRO,"""Pain and Glory"" director AlmodÃ³var"
EPICS,"""Paradise Lost"" and others"
SCUSI,"""Pardon me,"" in Parma"
WAYNE,"""Party on, ___!"" ""Party on, Garth!"""
LINUS,"""Peanuts"" boy"
SWINE,"""Pearls Before ___"" (comic strip)"
DONHO,"""Pearly Shells"" singer"
GRIEG,"""Peer Gynt"" composer"
ARDUA,"""Per ___ ad astra"""
ROBOT,"""Person"" that speaks in beeps and boops"
NEROS,"""Peter ___ Greatest Hits"" (1974 album)"
ACARD,"""Pick ___ ..."""
INGES,"""Picnic"" playwright's kin"
CRAIN,"""Pinky"" Best Actress nominee Jeanne"
ASEAT,"""Please, have ___"""
TOWAR,"""Prelude ___"" (1942 Frank Capra film)"
CANTI,"""Pretty please?"""
BRAVO,"""Project Runway"" cable channel"
NUEVO,"""Prospero Ano ___!"""
NORMA,"""Psycho"" mother"
MANUP,"""Put your big boy pants on!"""
SHHHH,"""Quiet, please!"""
SHUSH,"""Quiet, you!"""
VADIS,"""Quo ___?"""
LEVAR,"""Reading Rainbow"" host Burton"
SRSLY,"""Really?,"" in textspeak"
SIDEB,"""Revolution,"" to ""Hey Jude"""
PIMAS,"""River People"" of Arizona"
TORIO,"""Road ___"" (Hope/Crosby film)"
DEFOE,"""Robinson Crusoe"" novelist"
CHECK,"""Roger that"""
KINTE,"""Roots"" surname"
IHEAR,"""Rumor has it ..."""
NBCTV,"""S.N.L."" network"
ANIME,"""Sailor Moon"" genre"
ASAMI,"""Same here"""
ASDOI,"""Same here"""
KRAUT,"""Sauer"" hot dog topping"
IKNOW,"""Say no more"""
VELMA,"""Scooby-Doo"" girl"
HABLA,"""Se ___ espanol"""
AKISS,"""Sealed With ___"""
YKNOW,"""See what I'm sayin'?"""
LATER,"""See ya!"""
ADIOS,"""See ya"""
IMOUT,"""See ya"""
SOUSA,"""Semper Fidelis"" composer"
SADIE,"""Sexy"" lady in a Beatles song"
ATAIL,"""Shake ___ Feather"" (1967 R&B hit)"
WESAY,"""Shall ___ ...?"""
ASKME,"""Shoot"""
AWGEE,"""Shucks!"""
SCORN,"""Silence is the most perfect expression of ___"" (line in a Shaw play)"
NACIO,"""Singin' in the Rain"" composer ___ Herb Brown"
OFONE,"""Six ___ and half a dozen..."""
NIALL,"""Slow Hands"" singer ___ Horan"
ASNOT,"""So ___ to offend ..."""
SUEME,"""So ___!"" (sarcastic retort)"
USTOO,"""So are we!"""
LOCKE,"""Social contract"" philosopher John"
ITHOT,"""Some Like ___"""
RUARK,"""Something of Value"" author Robert"
KESEY,"""Sometimes a Great Notion"" novelist, 1964"
OHFUN,"""Sounds exciting,"" sarcastically"
ABATH,"""Splish splash, I was takin' ___"" (1958 lyric)"
OLMOS,"""Stand and Deliver"" star, 1987"
MCCOY,"""Star Trek"" doctor"
VADER,"""Star Wars"" name"
ASSHE,"""Steady ___ goes"""
HURRY,"""Step on it!"""
OHYOU,"""Stop it, I'm blushing"""
YODOG,"""'Sup, dude"""
ROGEN,"""Superbad"" co-star Seth"
LETEM,"""Sure, they can go right ahead"""
AFTON,"""Sweet"" stream in a Burns poem"
ALOOK,"""Take ___ at this!"""
ADEEP,"""Take ___ breath"""
AHIKE,"""Take ___!"""
ASIAM,"""Take me ___"""
ILLGO,"""Take me with you!"""
HITTO,"""Take two and ___ right"" (old baseball adage)"
IMOFF,"""Ta-ta!"""
NARDO,"""Taxi"" character Elaine"
LATKA,"""Taxi"" worker"
DOSAY,"""Tell me more"""
ISONE,"""That ___ for the record books"""
WASNO,"""That ___ lady ..."""
WASNT,"""That ___ so bad!"""
IMIND,"""That bothers me"""
YOWIE,"""That hurts!"""
YECCH,"""That tastes bleah!"""
APOOR,"""That's ___ excuse ..."""
ANONO,"""That's ___!"" (""Don't!"")"
